Config,NContainers,Times
0,1,3734 4652 4606 
0,2,4885 4825 4226 
0,3,4713 4687 4179 
1,1,4004 4463 5046 
1,2,4181 4137 4183 
1,3,5108 4139 5021 
2,1,4467 4125 3922 
2,2,4283 4861 4848 
2,3,4273 5112 4713 
3,1,10316 7879 7682 
3,2,9769 8548 7863 
3,3,7790 7077 8057 
4,1,4409 3825 4036 
4,2,4761 4032 4780 
4,3,4471 4873 4506 
5,1,3184 3471 3574 
5,2,4632 3510 4754 
5,3,5077 5215 5507 
